Lighting Condition,method,n_total_trials,activation_reliability_percent,segmentation_purity_percent,recognition_efficiency,inference_accuracy
dim,baseline_manual,30,,23.81894014969856,59.80045621705214,63.33333333333333
dim,proposed_auto,30,80.0,55.40543744672334,59.791666666666664,60.0
dim,reference_spotter,30,33.3,23.79310344827586,16.666666666666668,16.666666666666664
normal,baseline_manual,30,,22.172902931784108,45.31026135314319,83.33333333333334
normal,proposed_auto,30,100.0,68.07386338488912,84.7278550778894,86.66666666666667
normal,reference_spotter,30,100.0,65.05747126436782,80.0,80.0
